"","address","charging","engineType","exterior","fuel","interior","name","smartPhoneRequired","vin","City","Longitude","Latitude","Altitude"
"96","Stark St 817, 78756 Austin",NA,"CE","GOOD",100,"GOOD","FHB 1677","FALSE","WMEEJ3BA0FK802461","austin",-97.72695,30.32568,0
"97","Pease Rd 1638, 78703 Austin",NA,"CE","GOOD",100,"GOOD","FGZ 8805","FALSE","WMEEJ3BA7FK800304","austin",-97.75861,30.28451,0
"98","Town Lake Cir 2251, 78741 Austin",NA,"CE","GOOD",54,"GOOD","FHB 1335","FALSE","WMEEJ3BAXFK800510","austin",-97.72477,30.24042,0
"99","Navasota St 738, 78702 Austin",NA,"CE","GOOD",66,"GOOD","CSF 9071","FALSE","WMEEJ3BAXEK734569","austin",-97.72792,30.26498,0
"100","E 6th St and Brazos St",NA,"CE","GOOD",54,"GOOD","FJC 9783","FALSE","WMEEJ3BA3FK802678","austin",-97.74129,30.26805,0
"101","Shore District Dr 1436, 78741 Austin",NA,"CE","GOOD",66,"GOOD","FJC 9789","FALSE","WMEEJ3BAXFK802211","austin",-97.72824,30.24355,0
"102","Willowrun Dr 3464, 78704 Austin",NA,"CE","UNACCEPTABLE",51,"UNACCEPTABLE","CK9 T281","FALSE","WMEEJ3BA4AK417428","austin",-97.75392,30.22527,0
"103","Post Oak St 1199, 78704 Austin",NA,"CE","GOOD",100,"GOOD","FGZ 8682","FALSE","WMEEJ3BA2FK802896","austin",-97.75737,30.25912,0
"104","Adam L Chapa Sr St 142, 78702 Austin",NA,"CE","GOOD",66,"GOOD","CSF 8927","FALSE","WMEEJ3BA1EK734332","austin",-97.72349,30.2572,0
"105","Riverside Farms Rd 2376, 78741 Austin",NA,"CE","GOOD",100,"GOOD","FHB 0203","FALSE","WMEEJ3BA6FK802268","austin",-97.71792,30.22488,0
"106","Crestview Station",NA,"CE","GOOD",96,"GOOD","CSG 1520","FALSE","WMEEJ3BA2EK735456","austin",-97.71947,30.33886,0
"107","Lake Austin Blvd 2397, 78703 Austin",NA,"CE","GOOD",60,"GOOD","CZS 9748","FALSE","WMEEJ3BA4EK748175","austin",-97.77251,30.2779,0
"108","Comal St 518, 78702 Austin",NA,"CE","GOOD",100,"GOOD","FHB 1679","FALSE","WMEEJ3BA9FK802278","austin",-97.72684,30.26233,0
"109","East Ave 54, 78701 Austin",NA,"CE","GOOD",60,"GOOD","CZT 0920","FALSE","WMEEJ3BA2EK748904","austin",-97.73829,30.2572,0
"110","Lyons Rd 2733, 78702 Austin",NA,"CE","GOOD",100,"GOOD","CZS 9753","FALSE","WMEEJ3BAXEK748066","austin",-97.70866,30.26417,0
"111","Driskill St 609, 78701 Austin",NA,"CE","GOOD",96,"GOOD","FGZ 8688","FALSE","WMEEJ3BA6FK802707","austin",-97.73888,30.26111,0
"112","Intel Campus - 1300 S Mopac Expy - 2 Spaces",NA,"CE","GOOD",81,"GOOD","CSF 8932","FALSE","WMEEJ3BA5EK734785","austin",-97.79249,30.26268,0
"113","Chalmers Ave 213, 78702 Austin",NA,"CE","GOOD",72,"GOOD","FGZ 8623","FALSE","WMEEJ3BA4FK802835","austin",-97.72614,30.25884,0
"114","Werner Ave 3540, 78722 Austin",NA,"CE","GOOD",48,"GOOD","FHB 2847","FALSE","WMEEJ3BA4FK802009","austin",-97.71825,30.29197,0
"115","Crestview Station",NA,"CE","GOOD",100,"GOOD","CSF 9068","FALSE","WMEEJ3BA0EK733706","austin",-97.71947,30.33886,0
"116","W 34th St 703, 78705 Austin",NA,"CE","GOOD",93,"GOOD","CZT 1032","FALSE","WMEEJ3BA3EK748295","austin",-97.74154,30.30116,0
"117","Poquito St 1754, 78702 Austin",NA,"CE","GOOD",100,"GOOD","FBV 6124","FALSE","WMEEJ3BA2FK799028","austin",-97.71977,30.27853,0
"118","LCRA - Trade Center Dr",NA,"CE","GOOD",100,"GOOD","FHB 0202","FALSE","WMEEJ3BA6FK802271","austin",-97.71414,30.20749,0
"119","Manor Rd 4602, 78723 Austin",NA,"CE","GOOD",39,"GOOD","FHB 2831","FALSE","WMEEJ3BA9FK801051","austin",-97.68945,30.29267,0
"120","Westchester Ave 3514, 78759 Austin",NA,"CE","GOOD",100,"GOOD","FBV 4355","FALSE","WMEEJ3BA5FK798990","austin",-97.74409,30.36488,0
"121","W 5th St 123, 78701 Austin",NA,"CE","UNACCEPTABLE",36,"GOOD","FBV 4365","FALSE","WMEEJ3BA2FK799675","austin",-97.74343,30.26722,0
"122","E 8th St 2338, 78702 Austin",NA,"CE","GOOD",24,"GOOD","FJD 0198","FALSE","WMEEJ3BA8FK802899","austin",-97.71591,30.26319,0
"123","E 51st St 1757, 78723 Austin",NA,"CE","GOOD",75,"GOOD","FBV 4379","FALSE","WMEEJ3BA7FK799235","austin",-97.70066,30.30126,0
"124","W 5th St 143, 78701 Austin",NA,"CE","GOOD",100,"GOOD","CSF 9063","FALSE","WMEEJ3BA4EK733319","austin",-97.7437,30.26734,0
"125","W 31 1/2 St 667, 78705 Austin",NA,"CE","GOOD",100,"GOOD","FHB 2866","FALSE","WMEEJ3BAXFK802502","austin",-97.7421,30.29878,0
"126","Red River St 603, 78701 Austin",NA,"CE","GOOD",21,"GOOD","FFD 7834","FALSE","WMEEJ3BA7FK803221","austin",-97.73701,30.26676,0
"127","S Mo-Pac Expy, 78746 Austin",NA,"CE","GOOD",63,"GOOD","FJC 9925","FALSE","WMEEJ3BAXFK800989","austin",-97.77258,30.2721,0
"128","Treadwell St 1253, 78704 Austin",NA,"CE","GOOD",96,"GOOD","CZT 0998","FALSE","WMEEJ3BA3EK748071","austin",-97.76107,30.25579,0
"129","Cuvee Coffee House",NA,"CE","UNACCEPTABLE",27,"GOOD","FJD 0197","FALSE","WMEEJ3BA2FK803045","austin",-97.72134,30.26137,0
"130","W 5th St 125, 78701 Austin",NA,"CE","GOOD",66,"GOOD","FHB 1550","FALSE","WMEEJ3BA0FK801746","austin",-97.74347,30.26726,0
"131","W 5th St 1790, 78703 Austin",NA,"CE","UNACCEPTABLE",100,"UNACCEPTABLE","CSG 1100","FALSE","WMEEJ3BA1EK733682","austin",-97.76631,30.27618,0
