"","lat","lon","name"
"437",30.29291,-97.74702,"FBV 4383"
"438",30.2931,-97.74701,"FBV 4383"
"439",30.29337,-97.74706,"FBV 4383"
"440",30.29358,-97.74718,"FBV 4383"
"441",30.29394,-97.74741,"FBV 4383"
"442",30.29567,-97.74853,"FBV 4383"
"443",30.29598,-97.74871,"FBV 4383"
"444",30.29621,-97.74882,"FBV 4383"
"445",30.29651,-97.7489,"FBV 4383"
"446",30.29683,-97.74893,"FBV 4383"
"447",30.29708,-97.74892,"FBV 4383"
"448",30.29738,-97.74886,"FBV 4383"
"449",30.29765,-97.74875,"FBV 4383"
"450",30.29795,-97.74861,"FBV 4383"
"451",30.29809,-97.74852,"FBV 4383"
"452",30.29813,-97.74841,"FBV 4383"
"453",30.29835,-97.74816,"FBV 4383"
"454",30.29843,-97.74804,"FBV 4383"
"455",30.29852,-97.74786,"FBV 4383"
"456",30.29857,-97.74771,"FBV 4383"
"457",30.29867,-97.74742,"FBV 4383"
"458",30.29878,-97.74718,"FBV 4383"
"459",30.29898,-97.74697,"FBV 4383"
"460",30.29909,-97.74693,"FBV 4383"
"461",30.29951,-97.74669,"FBV 4383"
"462",30.30148,-97.7455,"FBV 4383"
"463",30.30267,-97.74474,"FBV 4383"
"464",30.30442,-97.74358,"FBV 4383"
"465",30.30518,-97.74307,"FBV 4383"
"466",30.30496,-97.74257,"FBV 4383"
"467",30.30454,-97.74159,"FBV 4383"
"468",30.30454,-97.74159,"FBV 4383"
"469",30.30518,-97.74307,"FBV 4383"
"470",30.30343,-97.74424,"FBV 4383"
"471",30.30189,-97.74523,"FBV 4383"
"472",30.30027,-97.74623,"FBV 4383"
"473",30.29951,-97.74669,"FBV 4383"
"474",30.29915,-97.74691,"FBV 4383"
"475",30.2991,-97.74696,"FBV 4383"
"476",30.299,-97.74706,"FBV 4383"
"477",30.29892,-97.74715,"FBV 4383"
"478",30.29874,-97.74739,"FBV 4383"
"479",30.29865,-97.74767,"FBV 4383"
"480",30.2985,-97.74806,"FBV 4383"
"481",30.29832,-97.74834,"FBV 4383"
"482",30.29818,-97.74849,"FBV 4383"
"483",30.29809,-97.74852,"FBV 4383"
"484",30.29786,-97.74865,"FBV 4383"
"485",30.29758,-97.74878,"FBV 4383"
"486",30.29723,-97.74889,"FBV 4383"
"487",30.29697,-97.74893,"FBV 4383"
"488",30.2967,-97.74892,"FBV 4383"
"489",30.29632,-97.74885,"FBV 4383"
"490",30.29607,-97.74876,"FBV 4383"
"491",30.29579,-97.74861,"FBV 4383"
"492",30.29367,-97.74723,"FBV 4383"
"493",30.29344,-97.74709,"FBV 4383"
"494",30.2933,-97.74704,"FBV 4383"
"495",30.29308,-97.74701,"FBV 4383"
"496",30.29281,-97.74704,"FBV 4383"
"497",30.29268,-97.74709,"FBV 4383"
"498",30.29257,-97.74716,"FBV 4383"
"499",30.2924,-97.74728,"FBV 4383"
"500",30.29222,-97.74752,"FBV 4383"
"501",30.29213,-97.74773,"FBV 4383"
"502",30.29171,-97.74989,"FBV 4383"
"503",30.29165,-97.75022,"FBV 4383"
"504",30.29155,-97.75057,"FBV 4383"
"505",30.29146,-97.75072,"FBV 4383"
"506",30.2913,-97.75091,"FBV 4383"
"507",30.29094,-97.75124,"FBV 4383"
"508",30.29033,-97.75174,"FBV 4383"
"509",30.29006,-97.75194,"FBV 4383"
"510",30.28976,-97.75217,"FBV 4383"
"511",30.28928,-97.75247,"FBV 4383"
"512",30.28889,-97.75265,"FBV 4383"
"513",30.28854,-97.75279,"FBV 4383"
"514",30.28704,-97.75313,"FBV 4383"
"515",30.28672,-97.7532,"FBV 4383"
"516",30.2865,-97.75321,"FBV 4383"
"517",30.28619,-97.75322,"FBV 4383"
"518",30.28557,-97.75318,"FBV 4383"
"519",30.28533,-97.75314,"FBV 4383"
"520",30.28516,-97.75309,"FBV 4383"
"521",30.28488,-97.75296,"FBV 4383"
"522",30.28439,-97.75267,"FBV 4383"
"523",30.28411,-97.7525,"FBV 4383"
"524",30.28359,-97.75212,"FBV 4383"
"525",30.28307,-97.75158,"FBV 4383"
"526",30.28271,-97.7512,"FBV 4383"
"527",30.28236,-97.75096,"FBV 4383"
"528",30.28207,-97.7508,"FBV 4383"
"529",30.28169,-97.75067,"FBV 4383"
"530",30.28157,-97.75067,"FBV 4383"
"531",30.28081,-97.75056,"FBV 4383"
"532",30.28047,-97.75055,"FBV 4383"
"533",30.28012,-97.75063,"FBV 4383"
"534",30.28,-97.75065,"FBV 4383"
"535",30.27993,-97.75067,"FBV 4383"
"536",30.27886,-97.75078,"FBV 4383"
"537",30.27871,-97.75072,"FBV 4383"
"538",30.27861,-97.75073,"FBV 4383"
"539",30.27834,-97.75079,"FBV 4383"
"540",30.27799,-97.7509,"FBV 4383"
"541",30.27689,-97.75139,"FBV 4383"
"542",30.2753,-97.75213,"FBV 4383"
"543",30.2743,-97.75261,"FBV 4383"
"544",30.27393,-97.75279,"FBV 4383"
"545",30.27402,-97.75302,"FBV 4383"
"546",30.27428,-97.75377,"FBV 4383"
"547",30.27369,-97.75408,"FBV 4383"
"548",30.27314,-97.75435,"FBV 4383"
"549",30.2733,-97.75476,"FBV 4383"
"550",30.27342,-97.75511,"FBV 4383"
"551",30.27342,-97.75511,"FBV 4383"
"552",30.27314,-97.75435,"FBV 4383"
"553",30.27428,-97.75377,"FBV 4383"
"554",30.27393,-97.75279,"FBV 4383"
"555",30.27384,-97.75249,"FBV 4383"
"556",30.27369,-97.75199,"FBV 4383"
"557",30.27359,-97.75152,"FBV 4383"
"558",30.27351,-97.75113,"FBV 4383"
"559",30.27244,-97.74741,"FBV 4383"
"560",30.27168,-97.74465,"FBV 4383"
