"","address","charging","engineType","exterior","fuel","interior","name","smartPhoneRequired","vin","City","Longitude","Latitude","Altitude"
"43","Lakeshore Blvd S 1741, 78741 Austin",NA,"CE","GOOD",42,"GOOD","FGZ 8629","FALSE","WMEEJ3BA9FK802300","austin",-97.72922,30.24488,0
"44","Southridge Dr 3764, 78704 Austin",NA,"CE","GOOD",36,"GOOD","FHB 0200","FALSE","WMEEJ3BA7FK801825","austin",-97.77738,30.23226,0
"45","Willow St 2767, 78702 Austin",NA,"CE","UNACCEPTABLE",81,"GOOD","FGZ 8680","FALSE","WMEEJ3BA5FK802696","austin",-97.71358,30.25235,0
"46","Onion St 640, 78702 Austin",NA,"CE","GOOD",57,"GOOD","FBV 4494","FALSE","WMEEJ3BA3FK802311","austin",-97.72729,30.26378,0
"47","Mariposa Dr 1735, 78741 Austin",NA,"CE","UNACCEPTABLE",100,"GOOD","CK9 T285","FALSE","WMEEJ3BA6AK417916","austin",-97.73641,30.2359,0
"48","Valeria St 1717, 78704 Austin",NA,"CE","GOOD",36,"GOOD","FJC 9952","FALSE","WMEEJ3BA8FK802739","austin",-97.77125,30.24989,0
"49","Lavaca St 622, 78701 Austin",NA,"CE","GOOD",48,"GOOD","CSF 9074","FALSE","WMEEJ3BA8EK732979","austin",-97.74509,30.26892,0
"50","Woodbury Dr 3922, 78704 Austin",NA,"CE","GOOD",54,"GOOD","FBV 4425","FALSE","WMEEJ3BAXFK799584","austin",-97.76058,30.22351,0
"51","The Connection",NA,"CE","GOOD",69,"GOOD","CSF 9065","FALSE","WMEEJ3BA0EK734533","austin",-97.72642,30.22726,0
"52","W 6th St 1887, 78703 Austin",NA,"CE","GOOD",72,"GOOD","CSF 9067","FALSE","WMEEJ3BA5EK734835","austin",-97.76629,30.27636,0
"53","Nueces St 2348, 78705 Austin",NA,"CE","GOOD",75,"GOOD","CZT 0915","FALSE","WMEEJ3BA5EK748606","austin",-97.74375,30.28725,0
"54","Timbercreek Apartments",NA,"CE","GOOD",27,"GOOD","FBV 4474","FALSE","WMEEJ3BA1FK802940","austin",-97.75159,30.25617,0
"55","One Highland Center",NA,"CE","UNACCEPTABLE",100,"GOOD","CSF 8920","FALSE","WMEEJ3BA8EK733792","austin",-97.71164,30.32867,0
"56","Crestview Station",NA,"CE","GOOD",93,"GOOD","CZT 0993","FALSE","WMEEJ3BA6EK748081","austin",-97.71947,30.33886,0
"57","Willow Hill Dr 2523, 78741 Austin",NA,"CE","GOOD",100,"GOOD","FHB 2844","FALSE","WMEEJ3BA0FK801990","austin",-97.72506,30.23319,0
"58","Webberville Rd 2256, 78702 Austin",NA,"CE","GOOD",69,"GOOD","FJC 9928","FALSE","WMEEJ3BA6FK801251","austin",-97.7163,30.26199,0
"59","Nueces St 1561, 78701 Austin",NA,"CE","GOOD",87,"GOOD","FGZ 8681","FALSE","WMEEJ3BA2FK802719","austin",-97.74484,30.27911,0
"60","Oltorf St W 1291, 78704 Austin",NA,"CE","GOOD",39,"GOOD","CZS 9747","FALSE","WMEEJ3BA1EK748201","austin",-97.76931,30.24551,0
"61","Upson St 610, 78703 Austin",NA,"CE","GOOD",54,"GOOD","FHB 1680","FALSE","WMEEJ3BA6FK802237","austin",-97.77066,30.27878,0
"62","Sunny Ln 500, 78704 Austin",NA,"CE","GOOD",54,"GOOD","FGZ 8685","FALSE","WMEEJ3BA1FK803165","austin",-97.74347,30.25255,0
"63","Sterzing St 430, 78704 Austin",NA,"CE","GOOD",63,"GOOD","CZT 1030","FALSE","WMEEJ3BA9EK748219","austin",-97.7632,30.26453,0
"64","Festival Beach Rd 1356, 78702 Austin",NA,"CE","GOOD",100,"GOOD","CYL 4640","FALSE","WMEEJ3BA8EK748731","austin",-97.73385,30.25285,0
"65","Trailside Dr 2222, 78704 Austin",NA,"CE","GOOD",78,"GOOD","CSF 9196","FALSE","WMEEJ3BAXEK733812","austin",-97.77246,30.25952,0
"66","E 51st St 1755, 78723 Austin",NA,"CE","GOOD",51,"GOOD","FGZ 8626","FALSE","WMEEJ3BA6FK802495","austin",-97.69994,30.30188,0
"67","Spyglass Dr 1783, 78746 Austin",NA,"CE","GOOD",72,"GOOD","CSF 9200","FALSE","WMEEJ3BA4EK734941","austin",-97.79079,30.2585,0
"68","San Antonio St 772, 78701 Austin",NA,"CE","GOOD",63,"GOOD","FHB 2867","FALSE","WMEEJ3BA3FK802535","austin",-97.74681,30.27101,0
"69","The Parking Spot",NA,"CE","GOOD",100,"GOOD","FBV 4432","FALSE","WMEEJ3BA2FK799417","austin",-97.67598,30.22049,0
"70","The Parking Spot",NA,"CE","GOOD",100,"GOOD","CSG 2237","FALSE","WMEEJ3BA0EK736105","austin",-97.67598,30.22049,0
"71","Milton St W 283, 78704 Austin",NA,"CE","GOOD",48,"GOOD","FHB 2864","FALSE","WMEEJ3BA4FK802351","austin",-97.75267,30.24758,0
