"","lat","lon","startTime","name"
"288",30.35218,-97.75043,"2015-12-08 08:31:33","CSF 9069"
"289",30.35275,-97.75165,"2015-12-08 08:31:33","CSF 9069"
"290",30.3534,-97.753,"2015-12-08 08:31:33","CSF 9069"
"291",30.35346,-97.75312,"2015-12-08 08:31:33","CSF 9069"
"292",30.35394,-97.75283,"2015-12-08 08:31:33","CSF 9069"
"293",30.35489,-97.75224,"2015-12-08 08:31:33","CSF 9069"
"294",30.35583,-97.75166,"2015-12-08 08:31:33","CSF 9069"
"295",30.25473,-97.71779,"2015-12-07 18:45:54","FBV 4383"
"296",30.25528,-97.71942,"2015-12-07 18:45:54","FBV 4383"
"297",30.25574,-97.72071,"2015-12-07 18:45:54","FBV 4383"
"298",30.25643,-97.72269,"2015-12-07 18:45:54","FBV 4383"
"299",30.25712,-97.72464,"2015-12-07 18:45:54","FBV 4383"
"300",30.25852,-97.72867,"2015-12-07 18:45:54","FBV 4383"
"301",30.25955,-97.7316,"2015-12-07 18:45:54","FBV 4383"
"302",30.26012,-97.73325,"2015-12-07 18:45:54","FBV 4383"
"303",30.26083,-97.73528,"2015-12-07 18:45:54","FBV 4383"
"304",30.26112,-97.73603,"2015-12-07 18:45:54","FBV 4383"
"305",30.26118,-97.73627,"2015-12-07 18:45:54","FBV 4383"
"306",30.2612,-97.73654,"2015-12-07 18:45:54","FBV 4383"
"307",30.26121,-97.73673,"2015-12-07 18:45:54","FBV 4383"
"308",30.26153,-97.73786,"2015-12-07 18:45:54","FBV 4383"
"309",30.26198,-97.73947,"2015-12-07 18:45:54","FBV 4383"
"310",30.26256,-97.74163,"2015-12-07 18:45:54","FBV 4383"
"311",30.26318,-97.7438,"2015-12-07 18:45:54","FBV 4383"
"312",30.26338,-97.74455,"2015-12-07 18:45:54","FBV 4383"
"313",30.26388,-97.74436,"2015-12-07 18:45:54","FBV 4383"
"314",30.26432,-97.7442,"2015-12-07 18:45:54","FBV 4383"
"315",30.26451,-97.74488,"2015-12-07 18:45:54","FBV 4383"
"316",30.26469,-97.74553,"2015-12-07 18:45:54","FBV 4383"
"317",30.26475,-97.74574,"2015-12-07 18:45:54","FBV 4383"
"318",30.26478,-97.74586,"2015-12-07 18:45:54","FBV 4383"
"319",30.26478,-97.74586,"2015-12-07 19:10:55","FBV 4383"
"320",30.26469,-97.74553,"2015-12-07 19:10:55","FBV 4383"
"321",30.26379,-97.74584,"2015-12-07 19:10:55","FBV 4383"
"322",30.26397,-97.74641,"2015-12-07 19:10:55","FBV 4383"
"323",30.26426,-97.7475,"2015-12-07 19:10:55","FBV 4383"
"324",30.26465,-97.74889,"2015-12-07 19:10:55","FBV 4383"
"325",30.26471,-97.74912,"2015-12-07 19:10:55","FBV 4383"
"326",30.26471,-97.74927,"2015-12-07 19:10:55","FBV 4383"
"327",30.26498,-97.75022,"2015-12-07 19:10:55","FBV 4383"
"328",30.2655,-97.75194,"2015-12-07 19:10:55","FBV 4383"
"329",30.26597,-97.75354,"2015-12-07 19:10:55","FBV 4383"
"330",30.26615,-97.75402,"2015-12-07 19:10:55","FBV 4383"
"331",30.26622,-97.75428,"2015-12-07 19:10:55","FBV 4383"
"332",30.26632,-97.75489,"2015-12-07 19:10:55","FBV 4383"
"333",30.26638,-97.75539,"2015-12-07 19:10:55","FBV 4383"
"334",30.26639,-97.75555,"2015-12-07 19:10:55","FBV 4383"
"335",30.26684,-97.75535,"2015-12-07 19:10:55","FBV 4383"
"336",30.26695,-97.75532,"2015-12-07 19:10:55","FBV 4383"
"337",30.26711,-97.75517,"2015-12-07 19:10:55","FBV 4383"
"338",30.26712,-97.75514,"2015-12-07 19:10:55","FBV 4383"
"339",30.26714,-97.75509,"2015-12-07 19:10:55","FBV 4383"
"340",30.26721,-97.75505,"2015-12-07 19:10:55","FBV 4383"
"341",30.26727,-97.75505,"2015-12-07 19:10:55","FBV 4383"
"342",30.26732,-97.75508,"2015-12-07 19:10:55","FBV 4383"
"343",30.26735,-97.75515,"2015-12-07 19:10:55","FBV 4383"
"344",30.26735,-97.75522,"2015-12-07 19:10:55","FBV 4383"
"345",30.26733,-97.75526,"2015-12-07 19:10:55","FBV 4383"
"346",30.26761,-97.75564,"2015-12-07 19:10:55","FBV 4383"
"347",30.26767,-97.75567,"2015-12-07 19:10:55","FBV 4383"
"348",30.26775,-97.7557,"2015-12-07 19:10:55","FBV 4383"
"349",30.26789,-97.75564,"2015-12-07 19:10:55","FBV 4383"
"350",30.26859,-97.75532,"2015-12-07 19:10:55","FBV 4383"
"351",30.26907,-97.75511,"2015-12-07 19:10:55","FBV 4383"
"352",30.27003,-97.75469,"2015-12-07 19:10:55","FBV 4383"
"353",30.27059,-97.75446,"2015-12-07 19:10:55","FBV 4383"
"354",30.27111,-97.75421,"2015-12-07 19:10:55","FBV 4383"
